Bio,Follower Count
b'Fighting for Alaska. Always.',6206
"b""Fmr Dept of Natural Resources Commissioner & Alaska Attorney General. Fmr Ass't Secy of State. Proud Marine. Senator for Alaska. #StandWithDan""",4684
b'The official Twitter page for U.S. Senator Richard Shelby (R-Ala.) https://t.co/YqOy54UpSf',93449
b'Former college football coach. Two time SEC coach of the year. Six National Coach of the Year awards. Senator for the Great State of Alabama!',74110
"b'Optometrist. Husband, Dad & Grandfather. @RazorbackFB alum. 5th-Generation Arkansan. Official Twitter account for my campaign to represent AR in the US Senate.'",5230
"b'U.S. Senator for Arkansas. For official updates, see @SenTomCotton. RLTW.'",142799
"b'US Senator for Arizona. Also: teaching @ASU, ultramarathoner, Boston qualifier, and IRONMAN.'",160896
b'Navy combat veteran & retired NASA astronaut. Husband to @GabbyGiffords. United States Senator for the great state of Arizona.',496604
b'United States Senator from California. On Facebook at: https://t.co/RVLkJPLS9Y',1507695
b'U.S. Senator for California. Husband & Dad. Former CA Secretary of State. @MIT Grad. San Fernando Valley native. Defending the dream.',84835
"b'Fighting for the next generation. Current Senator, former school superintendent. Two N\xe2\x80\x99s, one T.'",48528
"b'Former geologist, brewer, mayor, and governor. Occasional banjo player. Ready to bring change to Washington & get things done for Colorado!'",215303
"b'Official Twitter account of U.S. Senator Richard Blumenthal, proudly working for the people of Connecticut.'",712225
b'U.S. Senator from Connecticut.',1037568
"b'U.S. Senator for Delaware. Father, husband and proud veteran of the U.S. Navy. Detroit @tigers fan.'",4192
b'U.S. Senator from Delaware. Former New Castle County Exec & in-house counsel for a manufacturing company. Husband & father of 3. (He/Him/His) *Campaign Account*',10210
"b'Banned in & sanctioned by China,Follower of Christ,Husband,Father, Proud AMERICAN, US Senator for Florida, #GatorNation & #FinsUp.Official tweets @SenRubioPress'",4211486
"b'Senator from Florida, @nrsc Chairman, Grandpa, Father, Husband, 45th Governor of Florida, Navy Vet, Businessman. #LetsGetToWork'",135376
b'U.S. Senator from Georgia.',1199816
b'Pastor. Advocate. Savannah born & raised. @Morehouse alum. Senator from Georgia.',935577
"b'U.S. Senator for Hawaii, focused on getting our families back to work and building a sustainable future for Hawaii.'",7735
b'United States Senator from Hawaii. Dad. Climate Hawk. Appropriator. Chair of the Senate Committee on Indian Affairs. Chief Deputy Whip.',380052
"b'U.S. Senator. Family farmer. Lifetime resident of New Hartford, IA. Also follow @GrassleyPress for news and information.'",633211
b'Mother. Soldier. Leader. Proudly serving Iowa in the United States Senate.',51788
"b'Husband, father, grandfather, Idahoan. Official account for the Jim Risch for U.S. Senate Campaign.'",768
"b'Campaign account for an unwavering commonsense conservative who fights for lower taxes, limited government and reduced federal spending. #CrapoForSenate'",596
b'U.S. Senator for Illinois',30541
"b""Official Twitter feed of Tammy Duckworth's campaign to represent Illinois in the U.S. Senate.""",52233
"b'US Senator for Indiana. A proud husband, father, Naval Academy graduate, and Marine fighting for Hoosier families.'",10495
"b'Mike Braun, a lifelong resident of Jasper, Indiana, is a conservative businessman and U.S. Senator from Indiana. #IBackBraun Official: @SenatorBraun'",14710
b'Official account of U.S. Senator Jerry Moran. Honored to represent Kansans in the U.S. Senate.',115790
"b'Husband, father, grandfather, doctor, and Senator for Kansas.'",18816
b'The #Kentucky press office for U.S. Senate Republican Leader Mitch McConnell @LeaderMcConnell. For more information please visit his website:',95682
"b'I fight for the Constitution, individual liberty and the freedoms that make this country great.'",68926
b'Gastroenterologist currently serving the people of Louisiana in the U.S. Senate',47016
b'U.S. Senator',9099
"b'U.S. Senator fighting for the families and future of Massachusetts. Malden native, Red Sox fan, #netneutrality defender, co-author of the #GreenNewDeal (he/him)'",241176
"b'U.S. Senator, former teacher. Wife, mom (Amelia, Alex, Bailey, @CFPB), grandmother, and Okie. She/her. Official campaign account.'",5726735
b'Working hard for Maryland and asking you to please wear a mask.                                                             By Auth. Ben Cardin For Senate',7927
b'Proud Marylander serving the people of this state for 25 years. Progressive fighter committed to getting results.',6361
b'Official Campaign Account for Susan Collins for Senator | #1 Most Bipartisan Senator | Sign up below \xe2\xac\x87\xef\xb8\x8f to join Team Collins',6304
"b'U.S. Senator fighting for Maine. Husband to Mary, father to five children, and grandfather to six grandchildren. RV and Harley enthusiast.'",632
b'Senator Stabenow proudly represents the great State of Michigan in the U.S. Senate.',62502
"b'Proud husband and father of three, five generations in MI, 20+ years in business, 10+ years in the U.S. Navy Reserve, fighter for the middle class'",42079
b'U.S. Senator from Minnesota.',1643522
"b'Converse-wearing, donut-eating U.S. Senator from Minnesota. Longtime fierce advocate for families and new grandma. she/her'",85981
"b""I'm running for Senate to deliver real results for the people of Missouri.""",6997
"b'Constitutional lawyer, husband to Erin, Dad to Elijah, Blaise and Abigail, US Senator from Missouri'",615019
"b'Life-long Mississippian, currently serving in the United States Senate. Updates are from the campaign unless signed RW.'",15329
b'Lifelong conservative proudly fighting for the people of Mississippi in the U.S. Senate.',20433
"b'Senate campaign of Jon Tester - dirt farmer & Montana Senator from Big Sandy - RTs, Replies & Follows \xe2\x89\xa0 Endorsement.'",34758
b'Official campaign handle for Montanans for U.S. Senator Steve Daines. Join #TeamDaines at https://t.co/aYcWtm8Dap',3930
b'U.S. Senator from North Carolina',175754
b'Husband to Susan. Father to Lindsay and Ryan. Papa to Sawyer and Willow Rae. Senator to North Carolina.',41168
"b'U.S. Senator for North Dakota serving on the Senate Agriculture, Energy, Appropriations & Indian Affairs committees.'",114071
"b'U.S. Senator, former Representative, GOP Conservative, husband, & father of 5 great kids! For official updates, follow: @SenKevinCramer'",7812
"b'Deb Fischer is a cattle rancher, proud Nebraskan, and U.S. senator.'",4898
b'Wheat Leader of the Year (2019)',298404
b'U.S. Senator from New Hampshire. This is the Twitter account of Shaheen for Senate.',21345
b'Senator. Mom. Sox fan.',15372
"b'Official campaign account of Senator Bob Menendez. Tweets are from #TeamMenendez unless signed with ""-Bob""'",15621
"b'U.S. Senator from New Jersey. Most tweets (and typos) are mine, some are my team\xe2\x80\x99s. He/him.'",4961518
"b'Official campaign account of U.S. Senator Martin Heinrich, a fighter for all New Mexicans.'",5129
b'Proud son of an ironworker & a public school employee. Fourth generation on my family farm in Namb\xc3\xa9. Senator-elect from NM. Join our movement: https://t.co/1wgB5sVYms',11373
b'Senator from the great state of Nevada. Former Attorney General. Fighter for Nevada\xe2\x80\x99s families.',31867
"b""Campaign account for U.S. Senator Jacky Rosen. Ready to fight for Nevada's hardworking families.""",37234
b'United States Senator for New York. Official Senate account. She/her. Find #COVID19 resources: https://t.co/8EC0oiYTP2',18929
"b'Campaign account for Senator Chuck Schumer, D-NY Fighting hard for the middle class - father, husband, Giants & Yankees fan'",36377
b'Grandfather. Dad. @ConnieSchultz\xe2\x80\x99s partner. Cleveland baseball fan. Proud Ohioan & United States Senator.',87773
b'Official Campaign Twitter for Rob Portman for Senate 2016. All tweets are from the campaign unless signed -RP.',20150
